,impSuIygMiQ,LiSA&Uru,再会,31,271
,epmQwywyL3g,キリト&ユージオ&アリス,Beginnig the Destiny,764,1063
,dCgnbW3iYS0,白,オラシオン,381,773
,4wScD8mH6zU,いろり&夜々&小紫,回レ！雪月花,452,693
,wW-DYaDr6Fs,HANA star. 茅野愛衣,アメジスト,367,660
,Fwljcdv14hU,冬海愛衣,からの、愛！,568,855
,4CL6rvsv564,山上ルーシー（略）,めいあいへるぷゆー？,421,629
,4CL6rvsv564,山上ルーシー（略）,ハチミツ時間,672,965
,kxG-RGCRoiE,アリス&キリト,Rising in revolt,1008,1290
,6QedFPlh8wM,ダクネス,おうちに帰りたい,507,725
,yJEFkA1Xnag,相川千穂,春過ぎ,546,830
,Iqe1arYgCPU,春咲千和,心がキミでできてる,796,1027
,Iqe1arYgCPU,自らを演出する乙女の会,Girlish Lover,1077,1325
